RAZA,SEXO,Dia,Peso,Cons_Acum
COBB,HEMBRA,1,55,14
COBB,HEMBRA,2,75,38
COBB,HEMBRA,3,98,64
COBB,HEMBRA,4,121,90
COBB,HEMBRA,5,145,117
COBB,HEMBRA,6,170,147
COBB,HEMBRA,7,199,180
COBB,HEMBRA,8,236,216
COBB,HEMBRA,9,276,258
COBB,HEMBRA,10,320,306
COBB,HEMBRA,11,369,360
COBB,HEMBRA,12,421,420
COBB,HEMBRA,13,478,487
COBB,HEMBRA,14,537,559
COBB,HEMBRA,15,601,639
COBB,HEMBRA,16,667,725
COBB,HEMBRA,17,737,818
COBB,HEMBRA,18,810,917
COBB,HEMBRA,19,885,1023
COBB,HEMBRA,20,963,1135
COBB,HEMBRA,21,1043,1253
COBB,HEMBRA,22,1126,1377
COBB,HEMBRA,23,1210,1507
COBB,HEMBRA,24,1297,1643
COBB,HEMBRA,25,1386,1784
COBB,HEMBRA,26,1477,1930
COBB,HEMBRA,27,1569,2081
COBB,HEMBRA,28,1662,2237
COBB,HEMBRA,29,1757,2398
COBB,HEMBRA,30,1853,2563
COBB,HEMBRA,31,1951,2732
COBB,HEMBRA,32,2049,2905
COBB,HEMBRA,33,2148,3082
COBB,HEMBRA,34,2248,3263
COBB,HEMBRA,35,2348,3448
COBB,HEMBRA,36,2448,3636
COBB,HEMBRA,37,2549,3828
COBB,HEMBRA,38,2650,4024
COBB,HEMBRA,39,2751,4223
COBB,HEMBRA,40,2852,4426
COBB,HEMBRA,41,2952,4633
COBB,HEMBRA,42,3052,4843
COBB,HEMBRA,43,3151,5057
COBB,HEMBRA,44,3250,5275
COBB,HEMBRA,45,3348,5497
COBB,HEMBRA,46,3445,5723
COBB,HEMBRA,47,3540,5953
COBB,HEMBRA,48,3635,6187
COBB,HEMBRA,49,3728,6425
COBB,HEMBRA,50,3819,6667
COBB,HEMBRA,51,3909,6912
COBB,HEMBRA,52,3997,7161
COBB,HEMBRA,53,4083,7413
COBB,HEMBRA,54,4167,7667
COBB,HEMBRA,55,4249,7923
COBB,HEMBRA,56,4329,8180
COBB,MACHO,1,55,12
COBB,MACHO,2,76,37
COBB,MACHO,3,99,65
COBB,MACHO,4,122,92
COBB,MACHO,5,147,120
COBB,MACHO,6,176,151
COBB,MACHO,7,205,182
COBB,MACHO,8,244,222
COBB,MACHO,9,289,267
COBB,MACHO,10,339,319
COBB,MACHO,11,395,379
COBB,MACHO,12,457,447
COBB,MACHO,13,525,525
COBB,MACHO,14,603,615
COBB,MACHO,15,677,704
COBB,MACHO,16,754,800
COBB,MACHO,17,834,903
COBB,MACHO,18,918,1013
COBB,MACHO,19,1005,1130
COBB,MACHO,20,1095,1254
COBB,MACHO,21,1188,1385
COBB,MACHO,22,1284,1523
COBB,MACHO,23,1382,1667
COBB,MACHO,24,1482,1818
COBB,MACHO,25,1585,1975
COBB,MACHO,26,1690,2137
COBB,MACHO,27,1796,2305
COBB,MACHO,28,1904,2478
COBB,MACHO,29,2014,2656
COBB,MACHO,30,2125,2839
COBB,MACHO,31,2237,3027
COBB,MACHO,32,2350,3219
COBB,MACHO,33,2464,3415
COBB,MACHO,34,2579,3615
COBB,MACHO,35,2694,3819
COBB,MACHO,36,2810,4027
COBB,MACHO,37,2926,4239
COBB,MACHO,38,3042,4454
COBB,MACHO,39,3158,4673
COBB,MACHO,40,3274,4896
COBB,MACHO,41,3389,5122
COBB,MACHO,42,3503,5352
COBB,MACHO,43,3617,5586
COBB,MACHO,44,3730,5823
COBB,MACHO,45,3842,6064
COBB,MACHO,46,3952,6309
COBB,MACHO,47,4062,6557
COBB,MACHO,48,4169,6809
COBB,MACHO,49,4275,7064
COBB,MACHO,50,4379,7322
COBB,MACHO,51,4481,7583
COBB,MACHO,52,4580,7846
COBB,MACHO,53,4677,8111
COBB,MACHO,54,4772,8377
COBB,MACHO,55,4864,8643
COBB,MACHO,56,4953,8909
COBB,MIXTO,1,57,13
COBB,MIXTO,2,74,38
COBB,MIXTO,3,96,65
